ACTION,CLEARED,INDICATION_OF_COLLATERALIZATION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.64,0.38
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.71,40
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,25
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.73,25
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.74,25
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.74,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.74,56
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.74,100
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.74,50
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,2.62,3
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.73,7
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.73,15
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,1
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,1
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,1
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,12
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.74,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,100
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.73,100
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.73,100
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,110
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.72,79
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.7,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,80
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Novation,0.69,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.68,44
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,1.07,54
